CMLB	1	219	8e55d24d70bd86dd
tier	name	lat	lon	detail
0	Goregaon East	19.168261	72.854193	400063
0	Marine Lines	18.932880	72.826775	400020
0	Tagore Nagar	19.118099	72.931674	400083
0	Jacob Circle	18.986367	72.828527	400011
0	Mumbai Central	18.967801	72.826463	400008
0	Vile Parle East	19.101345	72.849387	400057
0	Nariman Point	18.925937	72.821116	400021
0	Dharavi	19.043249	72.854082	400017
0	Mahim	19.033360	72.842953	400016
0	Sewri	18.996967	72.855171	400015
0	Worli Colony	19.010328	72.819915	400030
0	Grant Road	18.963553	72.816382	400007
0	Mulund West	19.169978	72.944873	400080
0	Chembur	19.053933	72.903205	400071
0	Malad West	19.184398	72.839117	400064
0	Barve Nagar	19.096662	72.899583	400084
0	SEEPZ	19.123585	72.875132	400096
0	Worli	18.997288	72.815355	400018
0	Andhri East	19.123518	72.851862	400069
0	Girgaon	18.956712	72.821256	400004
0	Amtop Hill	19.027438	72.870518	400037
0	Bhawani Shankar	19.020397	72.837551	400028
0	Nehru Nagar	19.062718	72.883428	400024
0	Vikhroli	19.104207	72.923685	400079
0	Azadnagar	19.133593	72.827961	400053
0	Sahar Po	19.094979	72.866485	400099
0	Khar	19.069645	72.836204	400052
0	Rajawadi	19.078143	72.904494	400077
0	Tank Road	18.984250	72.846699	400033
0	Mumbai GPO	18.940910	72.837445	400001
0	Mandpeshwar	19.243942	72.850914	400103
0	Rajbhavan	18.942412	72.794373	400035
0	Matunga	19.027667	72.853365	400019
0	Cumballa Hill	18.967531	72.807531	400026
0	Bhandup East	19.129979	72.935311	400042
0	Mantaralaya	18.927441	72.826460	400032
0	Jogeshwari West	19.145129	72.840288	400102
0	Kurla	19.076962	72.884336	400070
0	Pant Nagar	19.084492	72.915564	400075
0	Malabarhill	18.952462	72.798499	400006
0	Kandivali West	19.209631	72.830175	400067
0	Parel	19.000637	72.840424	400012
0	Mazgaon	18.970070	72.843358	400010
0	Borivali West	19.220184	72.846974	400092
0	Bandra West	19.056816	72.829042	400050
0	Malad East	19.184494	72.866674	400097
0	VJB Udyan	18.977351	72.834841	400027
0	Dahisar	19.250270	72.864624	400068
0	Motilalnagar	19.162775	72.840224	400104
0	Tilak Nagar	19.067533	72.902271	400089
0	J.B.Nagar	19.112587	72.879267	400059
0	IIT Powai	19.115909	72.910113	400076
0	Sakinaka	19.109426	72.893950	400072
0	Kharodi	19.188179	72.809282	400095
0	Ghatkopar West	19.096540	72.912329	400086
0	Santacruz East	19.080210	72.848240	400055
0	Santacrus	19.080931	72.863198	400029
0	A M Colony	19.153901	72.871593	400065
0	Kalbadevi	18.948093	72.826571	400002
0	NITIE	19.137032	72.897827	400087
0	Wadala	19.013708	72.853463	400031
0	Borivali East	19.228963	72.867846	400066
0	Anu Shakti Nagar	19.038571	72.923255	400094
0	Bhandup Complex	19.161226	72.925690	400082
0	Mulund East	19.169713	72.962211	400081
0	FCI	19.031307	72.894249	400074
0	Borivali	19.240812	72.798929	400091
0	Sion	19.048360	72.873067	400022
0	Andheri	19.123496	72.841340	400058
0	Dadar	19.012041	72.844431	400014
0	Bhandup West	19.149602	72.931907	400078
0	Colaba	18.904567	72.810576	400005
0	Jogeshwari East	19.135479	72.855653	400060
0	Bandra East	19.060575	72.848001	400051
0	Juhu	19.108225	72.827693	400049
0	Vile Parle West	19.099296	72.837404	400056
0	Chinchbunder	18.957200	72.838384	400009
0	Versova	19.160756	72.790749	400061
0	Vidyanagari	19.072822	72.861400	400098
0	Mandvi	18.950839	72.835062	400003
0	Chakala MIDC	19.122964	72.864230	400093
0	T F Deonar	19.045151	72.950545	400088
0	Delisle Road	19.000938	72.827755	400013
0	Prabhadevi	19.013240	72.828326	400025
0	Kandivali East	19.204570	72.867367	400101
0	Santacruz West	19.081077	72.835127	400054
0	Shivaji Nagar	19.059775	72.922883	400043
0	BARC	19.021827	72.928054	400085
0	Tulsiwadi	18.978025	72.816820	400034
1	Chhatrapati Shivaji Maharaj Terminus	18.939899	72.835324	
1	Banganga Tank	18.945476	72.793625	
1	Haji Ali Dargah	18.982823	72.808993	
1	Elephanta Caves	18.963410	72.931359	
1	Afghan Church	18.906465	72.816225	
1	Global Pagoda	19.228220	72.805963	
1	Flora Fountain	18.932489	72.831502	
1	Veermata Jijabai Bhosale Zoo & Botanical Garden	18.978250	72.836889	
1	Keneseth Eliyahoo Synagogue	18.928122	72.832590	
1	Kamala Nehru Park	18.954902	72.804887	
1	Sanjay Gandhi National Park	19.209324	72.916327	
