CMPL	1	31657	6aa1ccf9ecc8c60d
id	category	name	lat	lon	address	description
chhatrapati-shivaji-maharaj-terminus	TOURIST	Chhatrapati Shivaji Maharaj Terminus	18.939899	72.835324	Mumbai GPO, Mumbai 400001	Attraction in Mumbai GPO (400001). Heritage listed; has an encyclopaedia entry.
banganga-tank	TOURIST	Banganga Tank	18.945476	72.793625	Malabarhill, Mumbai 400006	Attraction in Malabarhill (400006). Has an encyclopaedia entry.
haji-ali-dargah	TOURIST	Haji Ali Dargah	18.982823	72.808993	Cumballa Hill, Mumbai 400026	Muslim place of worship in Cumballa Hill (400026). Has an encyclopaedia entry.
elephanta-caves	TOURIST	Elephanta Caves	18.963410	72.931359	Mumbai	Cave. Has an encyclopaedia entry.
afghan-church	TOURIST	Afghan Church	18.906465	72.816225	Colaba, Mumbai 400005	Christian place of worship in Colaba (400005). Has an encyclopaedia entry.
global-pagoda	TOURIST	Global Pagoda	19.228220	72.805963	Borivali, Mumbai 400091	Buddhist place of worship in Borivali (400091). Has an encyclopaedia entry.
flora-fountain	TOURIST	Flora Fountain	18.932489	72.831502	Mumbai GPO, Mumbai 400001	Garden in Mumbai GPO (400001). Has an encyclopaedia entry.
veermata-jijabai-bhosale-zoo-botanical-garden	TOURIST	Veermata Jijabai Bhosale Zoo & Botanical Garden	18.978250	72.836889	VJB Udyan, Mumbai 400027	Zoo in VJB Udyan (400027). Has an encyclopaedia entry.
keneseth-eliyahoo-synagogue	TOURIST	Keneseth Eliyahoo Synagogue	18.928122	72.832590	Mumbai GPO, Mumbai 400001	Jewish place of worship in Mumbai GPO (400001). Has an encyclopaedia entry.
kamala-nehru-park	TOURIST	Kamala Nehru Park	18.954902	72.804887	Malabarhill, Mumbai 400006	Attraction in Malabarhill (400006).
sanjay-gandhi-national-park	TOURIST	Sanjay Gandhi National Park	19.209324	72.916327	Mumbai	Attraction.
gateway-of-india	TOURIST	Gateway of India	18.921961	72.834561	Mumbai GPO, Mumbai 400001	Monument in Mumbai GPO (400001).
versova-beach	TOURIST	Versova Beach	19.130563	72.812914	Versova, Mumbai 400061	Beach in Versova (400061).
dhobi-ghat-viewpoint	TOURIST	Dhobi Ghat Viewpoint	18.982048	72.824700	Jacob Circle, Mumbai 400011	Viewpoint in Jacob Circle (400011).
sion-fort	TOURIST	Sion Fort	19.046624	72.867623	Road No 1, Sion, Mumbai 400022	Fort in Sion (400022). Has an encyclopaedia entry.
nariman-point	TOURIST	Nariman Point	18.925343	72.818028	Sir Dorab Tata Road, Nariman Point, Mumbai 400021	Attraction in Nariman Point (400021). Has an encyclopaedia entry.
mahatma-jyotiba-phule-market	TOURIST	Mahatma Jyotiba Phule Market	18.947668	72.834730	Mumbai GPO, Mumbai 400001	Market in Mumbai GPO (400001). Has an encyclopaedia entry.
sewri-fort	TOURIST	Sewri Fort	19.000617	72.860145	Sewri, Mumbai 400015	Fort in Sewri (400015). Has an encyclopaedia entry.
marine-drive-mumbai	TOURIST	Marine Drive, Mumbai	18.941487	72.823846	Marine Lines, Mumbai 400020	Attraction in Marine Lines (400020). Has an encyclopaedia entry.
mount-mary-church	TOURIST	Mount Mary Church	19.046555	72.822617	Mount Mary Road, Bandra West, Bandra, Mumbai 400050	Christian place of worship in Bandra West (400050). Has an encyclopaedia entry.
riwa-fort	TOURIST	Riwa Fort	19.050990	72.860165	Dharavi, Mumbai 400017	Ruins in Dharavi (400017). Has an encyclopaedia entry.
mahim-fort	TOURIST	Mahim Fort	19.042011	72.838127	Mahim, Mumbai 400016	Fort in Mahim (400016). Has an encyclopaedia entry.
our-lady-of-egypt-church-kalina	TOURIST	Our Lady of Egypt Church Kalina	19.078450	72.869265	Church Road, Santacrus, Mumbai 400029	Christian place of worship in Santacrus (400029). Has an encyclopaedia entry.
wankhede-stadium	TOURIST	Wankhede Stadium	18.938493	72.825518	Marine Lines, Mumbai 400020	Stadium in Marine Lines (400020). Has an encyclopaedia entry.
holy-cross-church	TOURIST	Holy Cross Church	19.083484	72.887055	Father peter periera road, Kurla, Mumbai 400070	Christian place of worship in Kurla (400070). Has an encyclopaedia entry.
mahindra-hockey-stadium	TOURIST	Mahindra Hockey Stadium	18.937413	72.826223	D Road, Marine Lines, Mumbai 400020	Stadium in Marine Lines (400020). Has an encyclopaedia entry.
gloria-church	TOURIST	Gloria Church	18.975123	72.834353	Sant Savta Mali Marg, VJB Udyan, Mumbai 400027	Christian place of worship in VJB Udyan (400027). Has an encyclopaedia entry.
st-michael-s-church	TOURIST	St, Michael's Church	19.042781	72.840731	Mahim, Mumbai 400016	Christian place of worship in Mahim (400016). Has an encyclopaedia entry.
magen-david-synagogue	TOURIST	Magen David Synagogue	18.966963	72.832052	Mumbai Central, Mumbai 400008	Jewish place of worship in Mumbai Central (400008). Has an encyclopaedia entry.
saint-andrew-s	TOURIST	Saint Andrew's	19.055094	72.824516	Bandra West, Mumbai 400050	Christian place of worship in Bandra West (400050). Has an encyclopaedia entry.
brabourne-stadium	TOURIST	Brabourne Stadium	18.932283	72.825246	Marine Lines, Mumbai 400020	Stadium in Marine Lines (400020). Has an encyclopaedia entry.
walkeshwar-temple	TOURIST	Walkeshwar Temple	18.945625	72.793180	Malabarhill, Mumbai 400006	Hindu place of worship in Malabarhill (400006). Has an encyclopaedia entry.
mahalakshmi-mandir	TOURIST	Mahalakshmi Mandir	18.977369	72.806466	Cumballa Hill, Mumbai 400026	Hindu place of worship in Cumballa Hill (400026). Has an encyclopaedia entry.
portuguese-church	TOURIST	Portuguese Church	19.018640	72.836364	Bhawani Shankar, Mumbai 400028	Christian place of worship in Bhawani Shankar (400028). Has an encyclopaedia entry.
mumbai-football-arena	TOURIST	Mumbai Football Arena	19.129126	72.835452	Azadnagar, Mumbai 400053	Stadium in Azadnagar (400053). Has an encyclopaedia entry.
chaitya-bhumi	TOURIST	Chaitya Bhumi	19.025087	72.833828	Bhawani Shankar, Mumbai 400028	Monument in Bhawani Shankar (400028). Has an encyclopaedia entry.
taraporewala-aquarium	TOURIST	Taraporewala Aquarium	18.949188	72.819922	Kalbadevi, Mumbai 400002	Aquarium in Kalbadevi (400002). Has an encyclopaedia entry.
st-john-the-baptist-church	TOURIST	St. John the Baptist Church	19.121741	72.874401	SEEPZ, Mumbai 400096	Christian place of worship in SEEPZ (400096). Has an encyclopaedia entry.
khada-parsi	TOURIST	Khada Parsi	18.971581	72.832448	VJB Udyan, Mumbai 400027	Monument in VJB Udyan (400027). Has an encyclopaedia entry.
worli-fort	TOURIST	Worli Fort	19.023684	72.816846	Worli Colony, Mumbai 400030	Fort in Worli Colony (400030). Has an encyclopaedia entry.
bowen-memorial-methodist-church	TOURIST	Bowen Memorial Methodist Church	18.923356	72.832655	1 Tullock Road, Mumbai GPO, Colaba 400001	Christian place of worship in Mumbai GPO (400001). Has an encyclopaedia entry.
ins-vikrant-memorial	TOURIST	INS Vikrant Memorial	18.925544	72.832666	Mumbai GPO, Mumbai 400001	Memorial in Mumbai GPO (400001). Dates from 2022; has an encyclopaedia entry.
mahalaxmi-racecourse	TOURIST	Mahalaxmi Racecourse	18.985886	72.818499	Tulsiwadi, Mumbai 400034	Stadium in Tulsiwadi (400034). Has an encyclopaedia entry.
mannat-lands-end-shah-rukh-khan-s-bungalow	TOURIST	Mannat Lands End (Shah Rukh Khan's Bungalow)	19.046835	72.820114	HK Bhaba Road, Bandra West, Mumbai 400050	Attraction in Bandra West (400050).
st-john-the-baptist-shrine-oratory	TOURIST	St John The Baptist Shrine/Oratory	19.048195	72.825897	Bandra West, Mumbai 400050	Wayside shrine in Bandra West (400050). Dates from 1781.
essel-world-and-water-kingdom	TOURIST	Essel World and Water Kingdom	19.231771	72.805443	Borivali, Mumbai 400091	Theme park in Borivali (400091).
sanjay-gandhi-national-park-entrance	TOURIST	Sanjay Gandhi National Park Entrance	19.231517	72.863658	Borivali East, Mumbai 400066	Attraction in Borivali East (400066).
abu-village	TOURIST	Abu Village	19.164043	72.888919	A M Colony, Mumbai 400065	Attraction in A M Colony (400065).
galaxy-salman-khan-house	TOURIST	Galaxy (Salman Khan House)	19.054035	72.823484	3 Byramji Jeejeebhoy Road, Bandra West, Mumbai 400050	Attraction in Bandra West (400050).
girgaum-chowpatty-beach	TOURIST	Girgaum Chowpatty Beach	18.954839	72.811418	Grant Road, Mumbai 400007	Beach in Grant Road (400007).
indian-national-kennel-club	TOURIST	Indian National Kennel Club	18.928333	72.827871	148 Maharshi Karve Road, Marine Lines, Mumbai 400020	Attraction in Marine Lines (400020).
mangaldas-market	TOURIST	Mangaldas Market	18.947974	72.832347	Kalbadevi, Mumbai 400002	Market in Kalbadevi (400002).
madh-chowpatty	TOURIST	Madh Chowpatty	19.151431	72.786929	Versova, Mumbai 400061	Beach in Versova (400061).
marine-drive	TOURIST	Marine Drive	18.928365	72.820738	Marine Lines Flyover, Nariman Point, Mumbai 400021	Attraction in Nariman Point (400021).
flamingo-point	TOURIST	Flamingo Point	18.995589	72.861522	Sewri, Mumbai 400015	Pier in Sewri (400015).
jai-kisan-mandai	TOURIST	Jai Kisan Mandai	19.062762	72.898017	Ramakrishna Chemburkar Marg, Chembur, Chembur, Mumbai 400071	Market in Chembur (400071).
sujona-chembers	TOURIST	Sujona chembers	19.049679	72.914688	Deonar Road, T F Deonar, Mumbai 400088	Attraction in T F Deonar (400088).
astro-park-dadar-salvation-turf	TOURIST	Astro Park-Dadar Salvation Turf	19.017513	72.835043	Gokhale Road, Bhawani Shankar, Mumbai 400028	Attraction in Bhawani Shankar (400028).
kwan-tai-shek-temple	TOURIST	Kwan Tai Shek Temple	18.966050	72.846772	Mazgaon, Mumbai 400010	Place of worship in Mazgaon (400010).
vedic-park	TOURIST	Vedic Park	19.132888	72.898249	Sakinaka, Mumbai 400072	Attraction in Sakinaka (400072).
